index,date
0,/20110103
1,/20110104
2,/20110105
3,/20110106
4,/20110107
5,/20110108
6,/20110109
7,/20110110
8,/20110111
9,/20110112
10,/20110113
11,/20110114
12,/20110115
13,/20110116
14,/20110117
15,/20110118
16,/20110119
17,/20110120
18,/20110121
19,/20110122
20,/20110123
21,/20110124
22,/20110125
23,/20110126
24,/20110127
25,/20110128
26,/20110129
27,/20110130
28,/20110131
29,/20110201
30,/20110209
31,/20110210
32,/20110211
33,/20110212
34,/20110213
35,/20110214
36,/20110215
37,/20110216
38,/20110217
39,/20110218
40,/20110219
41,/20110220
42,/20110221
43,/20110222
44,/20110223
45,/20110224
46,/20110225
47,/20110226
48,/20110227
49,/20110228
50,/20110301
51,/20110302
52,/20110303
53,/20110304
54,/20110305
55,/20110306
56,/20110307
57,/20110308
58,/20110309
59,/20110310
60,/20110311
61,/20110312
62,/20110313
63,/20110314
64,/20110315
65,/20110316
66,/20110317
67,/20110318
68,/20110319
69,/20110320
70,/20110321
71,/20110322
72,/20110323
73,/20110324
74,/20110325
75,/20110326
76,/20110327
77,/20110328
78,/20110329
79,/20110330
80,/20110331
81,/20110401
82,/20110402
83,/20110403
84,/20110404
85,/20110405
86,/20110406
87,/20110407
88,/20110408
89,/20110409
90,/20110410
91,/20110411
92,/20110412
93,/20110413
94,/20110414
95,/20110415
96,/20110416
97,/20110417
98,/20110418
99,/20110419
100,/20110420
101,/20110421
102,/20110422
103,/20110423
104,/20110424
105,/20110425
106,/20110426
107,/20110427
108,/20110428
109,/20110429
110,/20110430
111,/20110501
112,/20110502
113,/20110503
114,/20110504
115,/20110505
116,/20110506
117,/20110507
118,/20110508
119,/20110509
120,/20110510
121,/20110511
122,/20110512
123,/20110513
124,/20110514
125,/20110515
126,/20110516
127,/20110517
128,/20110518
129,/20110519
130,/20110520
131,/20110521
132,/20110522
133,/20110523
134,/20110524
135,/20110525
136,/20110526
137,/20110527
138,/20110528
139,/20110529
140,/20110530
141,/20110601
142,/20110602
143,/20110603
144,/20110604
145,/20110605
146,/20110606
147,/20110607
148,/20110608
149,/20110609
150,/20110610
151,/20110611
152,/20110612
153,/20110613
154,/20110614
155,/20110615
156,/20110616
157,/20110617
158,/20110618
159,/20110619
160,/20110620
161,/20110621
162,/20110622
163,/20110623
164,/20110625
165,/20110626
166,/20110627
167,/20110628
168,/20110629
169,/20110630
170,/20110701
171,/20110702
172,/20110703
173,/20110704
174,/20110705
175,/20110706
176,/20110707
177,/20110708
178,/20110709
179,/20110710
180,/20110711
181,/20110712
182,/20110713
183,/20110714
184,/20110715
185,/20110716
186,/20110717
187,/20110718
188,/20110719
189,/20110720
190,/20110721
191,/20110722
192,/20110723
193,/20110724
194,/20110725
195,/20110726
196,/20110727
197,/20110728
198,/20110729
199,/20110730
200,/20110731
201,/20110801
202,/20110802
203,/20110803
204,/20110804
205,/20110805
206,/20110806
207,/20110807
208,/20110808
209,/20110809
210,/20110810
211,/20110811
212,/20110812
213,/20110813
214,/20110814
215,/20110815
216,/20110816
217,/20110817
218,/20110818
219,/20110819
220,/20110820
221,/20110821
222,/20110822
223,/20110823
224,/20110824
225,/20110825
226,/20110826
227,/20110827
228,/20110828
229,/20110829
230,/20110830
231,/20110831
232,/20110901
233,/20110902
234,/20110903
235,/20110904
236,/20110905
237,/20110906
238,/20110907
239,/20110908
240,/20110909
241,/20110910
242,/20110911
243,/20110912
244,/20110913
245,/20110914
246,/20110915
247,/20110916
248,/20110917
249,/20110918
250,/20110919
251,/20110920
252,/20110921
253,/20110922
